,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
0,novel_object_0_1_6,bird_black,992.4716647005407,0.0,True
1,novel_object_0_1_6,bird_blue,-306.39423398673534,1.0,False
2,novel_object_0_1_6,bird_red,993.002855822444,0.0,True
3,novel_object_0_1_6,bird_white,1021.2112435027957,0.0,True
4,novel_object_0_1_6,bird_yellow,1065.8386550750583,0.0,True
5,novel_object_0_1_6,tnt,670.888493321836,0.0,True
6,novel_object_0_1_6,platform,935.9611400216818,0.0,True
7,novel_object_0_1_6,ice,1031.8440628568642,0.0,True
8,novel_object_0_1_6,pig,1051.8176791975275,0.0,True
9,novel_object_0_1_6,stone,987.8560631790897,0.0,True
10,novel_object_0_1_6,wood,1019.8206632523797,0.0,True
11,novel_object_1_1_6,bird_black,989.4098126976751,0.0,True
12,novel_object_1_1_6,bird_blue,1003.7410945646116,0.0,True
13,novel_object_1_1_6,bird_red,1101.934165744111,0.0,True
14,novel_object_1_1_6,bird_white,961.2253123372793,0.0,True
15,novel_object_1_1_6,bird_yellow,942.4604254886508,0.0,True
16,novel_object_1_1_6,tnt,782.2088586091995,0.0,True
17,novel_object_1_1_6,platform,14978.142735481262,0.0,True
18,novel_object_1_1_6,ice,1027.7160295145004,0.0,True
19,novel_object_1_1_6,pig,1037.247442255728,0.0,True
20,novel_object_1_1_6,stone,804.5096265077591,0.0,True
21,novel_object_1_1_6,wood,985.2152517437935,0.0,True
22,novel_object_2_1_6,bird_black,1009.8029370056465,0.0,True
23,novel_object_2_1_6,bird_blue,1026.7032287977636,0.0,True
24,novel_object_2_1_6,bird_red,943.5083486735821,0.0,True
25,novel_object_2_1_6,bird_white,927.1573101058602,0.0,True
26,novel_object_2_1_6,bird_yellow,964.5506858378649,0.0,True
27,novel_object_2_1_6,tnt,1243.6856025010347,0.0,True
28,novel_object_2_1_6,platform,1979.2583521008492,0.0,True
29,novel_object_2_1_6,ice,1020.2413922805572,0.0,True
30,novel_object_2_1_6,pig,953.558259033598,0.0,True
31,novel_object_2_1_6,stone,994.9988641613163,0.0,True
32,novel_object_2_1_6,wood,983.0428413497284,0.0,True
33,novel_object_3_1_6,bird_black,992.9475602321327,0.0,True
34,novel_object_3_1_6,bird_blue,1102.342686086893,0.0,True
35,novel_object_3_1_6,bird_red,983.1924461871386,0.0,True
36,novel_object_3_1_6,bird_white,1030.3073436650448,0.0,True
37,novel_object_3_1_6,bird_yellow,1003.4630885664374,0.0,True
38,novel_object_3_1_6,tnt,2042.1299191713333,0.0,True
39,novel_object_3_1_6,platform,939.2927506547421,0.0,True
40,novel_object_3_1_6,ice,1015.6177531715948,0.0,True
41,novel_object_3_1_6,pig,1002.7754909358919,0.0,True
